Experiment #,Timestamp,temperature,pressure,residence_time,Measurement,Yield,Source
1,Reused,49.15158751946829,3.096638419386065,510.1264565860008,146.218423,146.218423,Reused:TFDM optimization test one#0
2,Reused,38.56506408732589,4.115092096064531,468.6397823157182,141.51932833333333,141.51932833333333,Reused:TFDM optimization test one#1
3,Reused,43.2186814566789,3.755513759008209,532.1270015574636,153.80835966666666,153.80835966666666,Reused:TFDM optimization test one#4
4,2025-10-23 15:16:00,42.942301356410944,2.83341602904701,530.7458890637259,300.0,300.0,
5,2025-10-23 15:16:02,42.440313752963704,2.7918436692047464,233.708727816928,300.00000000000006,300.00000000000006,
6,2025-10-23 15:16:04,43.85226574641622,2.5881469589037094,600.0,300.0,300.0,
7,2025-10-23 15:16:05,41.30286275310134,2.0,600.0,300.0,300.0,
8,2025-10-23 15:16:07,34.356993700594614,2.0,600.0,300.0,300.0,
9,2025-10-23 15:16:08,33.312616513010205,2.265143039144059,600.0,300.0,300.0,
10,2025-10-23 15:16:10,49.46151078529711,6.0,120.0,299.99999999999994,299.99999999999994,
11,2025-10-23 15:16:12,47.66491403689947,5.681709598126143,518.9632901033644,300.0,300.0,
12,2025-10-23 15:16:13,20.044655858565232,5.293290243234658,120.0,299.99999999999994,299.99999999999994,
