Iteration,Timestamp,base_concentration,current_density,applied_charge,substrate_concentration,salt_concentration,Measurement #,Value
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,1,17.9389381
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,2,20.2114105
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,3,21.5228024
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,4,22.4177094
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,5,23.3908482
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,6,24.9456005
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,7,27.4027252
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,8,27.6801128
0,2026-03-10 10:13:20,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,9,27.6739063
0,2026-03-10 10:19:30,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,1,9.53094769
0,2026-03-10 10:19:30,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,2,6.09311199
0,2026-03-10 10:19:30,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,3,13.0530329
0,2026-03-10 10:19:30,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,4,12.9911413
0,2026-03-10 10:19:30,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,5,12.6584539
0,2026-03-10 10:32:24,223.767093915506,7.172638144096798,2.0905331519297654,69.66721003727034,114.81838824139476,1,33.6275711
0,2026-03-10 10:32:24,223.767093915506,7.172638144096798,2.0905331519297654,69.66721003727034,114.81838824139476,2,33.0258789
0,2026-03-10 10:32:24,223.767093915506,7.172638144096798,2.0905331519297654,69.66721003727034,114.81838824139476,3,31.8815613
0,2026-03-10 10:39:29,179.02489406547022,8.587313935924996,2.02064701920683,35.438037657872286,278.7822324510323,1,19.6987209
0,2026-03-10 10:39:29,179.02489406547022,8.587313935924996,2.02064701920683,35.438037657872286,278.7822324510323,2,19.7426853
0,2026-03-10 10:39:29,179.02489406547022,8.587313935924996,2.02064701920683,35.438037657872286,278.7822324510323,3,19.0098019
0,2026-03-10 10:54:06,130.4455880796141,4.532097038592798,1.9083620774503895,56.54289492067548,227.57885436337142,1,30.8708
0,2026-03-10 10:54:06,130.4455880796141,4.532097038592798,1.9083620774503895,56.54289492067548,227.57885436337142,2,30.7833519
0,2026-03-10 10:54:06,130.4455880796141,4.532097038592798,1.9083620774503895,56.54289492067548,227.57885436337142,3,30.3358459
0,2026-03-10 11:06:47,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,1,28.676136
0,2026-03-10 11:06:47,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,2,29.9690247
0,2026-03-10 11:06:47,294.3439167964553,5.644957629079098,2.125105380488334,52.783834970737615,178.70038929736842,3,30.1751385
0,2026-03-10 11:12:57,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,1,11.460639
0,2026-03-10 11:12:57,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,2,11.3750362
0,2026-03-10 11:12:57,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,3,12.3093576
0,2026-03-10 11:12:57,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,4,12.6980448
0,2026-03-10 11:12:57,207.89472116237454,9.912117986618322,1.8662104937594066,26.946387078519674,193.0330143255261,5,12.7680597
