Iteration,Timestamp,flow_rate,base_concentration,total_current,substrate_concentration,salt_concentration,Measurement #,Value
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,1,15.3996878
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,2,16.0697689
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,3,16.8134899
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,4,15.5759583
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,5,16.6852131
0,2026-03-05 15:07:57,0.712359934141086,301.11379118104605,59.1783155107668,121.09542360218258,259.0752913204317,6,16.3352337
0,2026-03-05 15:17:49,0.7642254996282867,94.08667433827424,101.37482391905786,66.04257907626715,313.36252711897384,1,22.1023293
0,2026-03-05 15:17:49,0.7642254996282867,94.08667433827424,101.37482391905786,66.04257907626715,313.36252711897384,2,22.787632
0,2026-03-05 15:17:49,0.7642254996282867,94.08667433827424,101.37482391905786,66.04257907626715,313.36252711897384,3,22.2211552
0,2026-03-05 15:27:13,0.8214621706693555,205.6841407725286,132.79593996255315,148.76013589777358,371.5067056747699,1,25.6093178
0,2026-03-05 15:27:13,0.8214621706693555,205.6841407725286,132.79593996255315,148.76013589777358,371.5067056747699,2,26.4542999
0,2026-03-05 15:27:13,0.8214621706693555,205.6841407725286,132.79593996255315,148.76013589777358,371.5067056747699,3,25.9159489
0,2026-03-05 15:38:34,0.6274253871090276,353.8976451600641,272.2906014707195,124.44648613271802,213.48084506431366,1,60.7162743
0,2026-03-05 15:38:34,0.6274253871090276,353.8976451600641,272.2906014707195,124.44648613271802,213.48084506431366,2,60.768261
0,2026-03-05 15:38:34,0.6274253871090276,353.8976451600641,272.2906014707195,124.44648613271802,213.48084506431366,3,59.981205
0,2026-03-05 15:52:05,0.5147804732942444,424.271147786778,223.36805923580943,96.81808048755906,328.1672468553548,1,37.5882683
0,2026-03-05 15:52:05,0.5147804732942444,424.271147786778,223.36805923580943,96.81808048755906,328.1672468553548,2,39.8550529
0,2026-03-05 15:52:05,0.5147804732942444,424.271147786778,223.36805923580943,96.81808048755906,328.1672468553548,3,40.5466118
0,2026-03-05 15:52:05,0.5147804732942444,424.271147786778,223.36805923580943,96.81808048755906,328.1672468553548,4,40.8552589
0,2026-03-05 16:01:04,0.8742412907261592,236.80728047152652,179.42192412286263,77.26698573850427,262.89172886460494,1,37.0516815
0,2026-03-05 16:01:04,0.8742412907261592,236.80728047152652,179.42192412286263,77.26698573850427,262.89172886460494,2,36.8463135
0,2026-03-05 16:01:04,0.8742412907261592,236.80728047152652,179.42192412286263,77.26698573850427,262.89172886460494,3,37.9375076
0,2026-03-05 16:09:24,0.9851528262338611,160.0944198404753,301.30472212962377,74.81572900397634,167.07807189631524,1,38.9352684
0,2026-03-05 16:09:24,0.9851528262338611,160.0944198404753,301.30472212962377,74.81572900397634,167.07807189631524,2,38.970829
0,2026-03-05 16:09:24,0.9851528262338611,160.0944198404753,301.30472212962377,74.81572900397634,167.07807189631524,3,38.0791702
0,2026-03-05 16:18:41,0.8354605752034725,123.11455756616992,125.29997714832052,106.41251486834258,393.6732886950083,1,24.6819324
0,2026-03-05 16:18:41,0.8354605752034725,123.11455756616992,125.29997714832052,106.41251486834258,393.6732886950083,2,25.661253
0,2026-03-05 16:18:41,0.8354605752034725,123.11455756616992,125.29997714832052,106.41251486834258,393.6732886950083,3,26.3267345
0,2026-03-05 16:29:14,0.6942543723997527,464.98034588173516,242.69436640001183,84.40847852689068,116.07090094385691,1,46.5299683
0,2026-03-05 16:29:14,0.6942543723997527,464.98034588173516,242.69436640001183,84.40847852689068,116.07090094385691,2,45.5982437
0,2026-03-05 16:29:14,0.6942543723997527,464.98034588173516,242.69436640001183,84.40847852689068,116.07090094385691,3,44.8183861
0,2026-03-05 16:41:30,0.5877221466374022,491.00795306006745,201.07158801315992,53.34029850068909,419.17869872451956,1,13.3800631
0,2026-03-05 16:41:30,0.5877221466374022,491.00795306006745,201.07158801315992,53.34029850068909,419.17869872451956,2,17.8493519
0,2026-03-05 16:41:30,0.5877221466374022,491.00795306006745,201.07158801315992,53.34029850068909,419.17869872451956,3,18.6410275
0,2026-03-05 16:41:30,0.5877221466374022,491.00795306006745,201.07158801315992,53.34029850068909,419.17869872451956,4,18.6243343
0,2026-03-05 16:52:27,0.6586029246695124,389.3709992414612,161.18414321490826,111.0154140180878,457.37658706825687,1,40.3264236
0,2026-03-05 16:52:27,0.6586029246695124,389.3709992414612,161.18414321490826,111.0154140180878,457.37658706825687,2,39.9960213
0,2026-03-05 16:52:27,0.6586029246695124,389.3709992414612,161.18414321490826,111.0154140180878,457.37658706825687,3,41.0343666
0,2026-03-05 17:01:13,0.9118175322709956,284.96779404185605,256.07900196125223,141.30880250051825,85.30318348817696,1,46.5860977
0,2026-03-05 17:01:13,0.9118175322709956,284.96779404185605,256.07900196125223,141.30880250051825,85.30318348817696,2,47.6892815
