Experiment #,Timestamp,temperature,pressure,residence_time,Measurement,Yield,Source
1,Reused,49.15158751946829,3.096638419386065,510.1264565860008,146.218423,146.218423,Reused:TFDM optimization test one#0
2,Reused,38.56506408732589,4.115092096064531,468.6397823157182,141.51932833333333,141.51932833333333,Reused:TFDM optimization test one#1
3,Reused,44.38878439752053,5.681519602653804,499.32768387721296,150.19150060047963,150.19150060047963,Reused:TFDM optimization test one#2
4,Reused,26.97368029059364,3.504151510234061,383.0184192129063,165.00009266666666,165.00009266666666,Reused:TFDM optimization test one#3
5,Reused,43.2186814566789,3.755513759008209,532.1270015574636,153.80835966666666,153.80835966666666,Reused:TFDM optimization test one#4
6,Reused,43.89628960580699,2.733739159464655,494.2516801309293,157.404212,157.404212,Reused:TFDM optimization test one#5
7,Reused,37.90550473839461,3.783331011414365,167.9879595926414,164.09106457228066,164.09106457228066,Reused:TFDM optimization test one#6
8,Reused,33.77746675897602,3.334834444556088,188.5760726025316,169.8637269140478,169.8637269140478,Reused:TFDM optimization test one#7
9,Reused,39.52665418846559,2.225646316108401,466.5594106880759,160.340623,160.340623,Reused:TFDM optimization test one#8
10,2025-10-23 15:17:47,30.444949280842962,3.1575592697425443,212.55831224857963,300.00000000000006,300.00000000000006,
11,2025-10-23 15:17:49,26.454345377527314,3.332405246729026,219.18350173824672,300.00000000000006,300.00000000000006,
12,2025-10-23 15:17:51,50.0,4.019736157673516,217.55533147580826,299.99999999999994,299.99999999999994,
13,2025-10-23 15:17:52,47.60458015544386,2.0,215.90056334800914,299.99999999999994,299.99999999999994,
14,2025-10-23 15:17:54,50.0,6.0,233.17570620545612,300.00000000000006,300.00000000000006,
15,2025-10-23 15:17:56,20.0,2.0,244.6190406636789,300.00000000000006,300.00000000000006,
16,2025-10-23 15:17:57,20.25477779697837,2.0,235.09208255786473,299.99999999999994,299.99999999999994,
17,2025-10-23 15:17:59,20.0,6.0,263.7528141536653,300.0,300.0,
18,2025-10-23 15:18:01,23.238657109640382,2.0,285.64627280427015,300.0,300.0,
19,2025-10-23 15:18:02,50.0,6.0,309.00964416128795,300.0,300.0,
20,2025-10-23 15:18:04,50.0,6.0,298.3474235238787,300.0,300.0,
