Experiment #,Timestamp,temperature,pressure,residence_time,Measurement,Yield,Source
1,Reused,49.15158751946829,3.096638419386065,510.1264565860008,146.218423,146.218423,Reused:TFDM optimization test one#0
2,Reused,38.56506408732589,4.115092096064531,468.6397823157182,141.51932833333333,141.51932833333333,Reused:TFDM optimization test one#1
3,Reused,33.77746675897602,3.334834444556088,188.5760726025316,169.8637269140478,169.8637269140478,Reused:TFDM optimization test one#7
4,2025-10-23 14:37:43,43.89628960580699,2.733739159464655,494.25168013092934,300.0,300.0,
5,2025-10-23 14:37:45,37.90550473839461,3.783331011414365,167.9879595926414,300.0,300.0,
6,2025-10-23 14:37:46,33.77746675897602,3.334834444556088,188.57607260253158,300.0,300.0,
7,2025-10-23 14:37:47,39.526654188465585,2.225646316108401,466.5594106880759,300.00000000000006,300.00000000000006,
8,2025-10-23 14:37:48,48.156581270472515,2.0031150633640573,596.2615484597845,300.0,300.0,
9,2025-10-23 14:37:49,38.5244452888315,4.446612641953124,123.39182650546435,300.0,300.0,
10,2025-10-23 14:37:51,20.691872751242474,4.099098641033557,311.9332664233227,300.0,300.0,
